DE;EN
Nosode Grippe;3rd Flu Nosode
Blähungen 1;Abdominal Bloating
Blähungen 1;Abdominal Bloating 1
Bauchatmung;Abdominal Breathing
Pilzinfektion des Magens;Abdominal Fungal Infections
Pilzinfektion des Bauches;Abdominal Fungal Infections
Bauchschmerzen;Abdominal Pain
Abszess;Abscess
Abszess 1;Abscess 1
Hämolytische Gelbsucht;Acholuric Jaundice
Säuren Nierensteine ​;Acid Kindey Stones
Regulierung des Säure-Basen-Gleichgewichts;Acid-Base Balance Regulation
Übersäuerung;Acidosis
Akne;Acne
Akne Pickel;Acne
Akne Vulgaris;Acne Vulgaris
Akne Sekundär;Acne-Secondary
Akne Hautausschlag;Acneiform Rash
Atsonitum;Aconitum
Aktivierung der Leber;Activation of Liver
Prostata Aktivschutz;Active protection
Akupunktur;Acupuncture
Akute Entzündung;Acute Inflammation
Akute Kehlkopfentzündung;Acute Laryngitis
Akute Nephritis;Acute Nephritis
Akute Nierenentzündung;Acute Nephritis
Akute Schmerzen;Acute Pain
Akute Atemwegsinfektionen 1;Acute Respiratory Infections-1
Akutes Atemwegssyndrom;Acute Respiratory Syndrome
Akute respiratorische Virusinfektionen;Acute Respiratory Viral Infection
Akute respiratorische Virusinfektionen 1;Acute Respiratory Viral Infections 1
Akute respiratorische Virusinfektionen 2;Acute Respiratory Viral Infections 2
Akute respiratorische Virusinfektionen 3;Acute Respiratory Viral Infections 3
Akute respiratorische Virusinfektionen 4;Acute Respiratory Viral Infections 4
Akute respiratorische Virusinfektionen 5;Acute Respiratory Viral Infections 5
Akute Urethritis;Acute Urethritis
Adenohypophyse;Adenohypophysis
Rachenmandelwucherung;Adenoiditis
Polypen;Adenoids
Adenom;Adenoma
Prostataadenom 1;Adenoma 1
Prostataadenom 2;Adenoma 2
Prostataadenom 4;Adenoma 4
Prostataadenom 5;Adenoma 5
Prostataadenom 6;Adenoma 6
Prostataadenom 7;Adenoma 7
Adenovirus 36;AdenoVirus 36
Adenovirus 41;AdenoVirus 41
Adenovirus D66;AdenoVirus D 66
Fettablagerung;Adipopexia
Adnexitis;Adnexitis
Adnexitis 1;Adnixitis 1
Nebennierenrinde;Adrenal Cortex
Nebennieren Störung;Adrenal Gland Disorders
Nebennieren Erkrankungen;Adrenal Gland Disorders
Nebenniere Hyperfunktion;Adrenal Gland Hypofinction
Nebennieren;Adrenal Glands
Nebennieren 1;Adrenal Glands 1
Nebennieren 2;Adrenal Glands 2
Stimulation der Nebennieren;Adrenal Glands Stimulation
Nebennierenmark;Adrenal Medulla
Aflatoxin 1;Aflatoxin 1
Aflatoxin 2;Aflatoxin 2
Meningitis;Agifla
Muskelalterung;Aging Muscles
Unruhe 2;Agitation
Alkoholismus;Alcohol Addiction
Agomenorrhoe;Algodismenorrhea
Alkalische Nierensteine ​​;Alkaline Kindey Stones
Alle Schimmelpilze;All Aspergillus
Allergische Bronchitis;Allergic Bronchitis
allergische Dermatitis;Allergic Dermatitis
Allergischen Erkrankungen;Allergic Diseases
Allergien;Allergology
Allergose;Allergosis
Allergie;Allergy
Allergien;Allergy
Allergien Allgemein;Allergy
Allergie 1;Allergy 1
Allergie 2;Allergy 2
Allergie 3;Allergy 3
Allergie 4;Allergy 4
Allergie 5;Allergy 5
Allergie 6;Allergy 6
Allergie 7;Allergy 7
Allergie 8;Allergy 8
Allergische Nasenentzündung;Allergy and Rhinitis
Allergie 1;Allergy-1
Haarausfall;Alopecia
Schimmelpilz;Alternaria Tenuis
Altruismus-Zentrum;Altruistic Centre of the Brain 3
Altruismus Zentrum 2;Altruistic Centre of the brain-2
Alveolitis;Alveolitis
Alzheimer-Krankheit;Alzheimer Disease
Alzheimer-Krankheit allgemein;Alzheimer Disease-Basic Programme
Geh-Störungen;Ambulation Disorder
Amenorrhoe;Amenorrhoea
Gutmütigkeit;Amiability
Amoeba;Amoeba
Amoeba-Leber;Amoebic Liver
Amöben Leber 1;Amoebic Liver 1
Muskelatrophie;Amyotrophy
Muskel-Atrophie 1;Amyotrophy 1
Muskel-Atrophie 2;Amyotrophy 2
Muskel-Atrophie 3;Amyotrophy 3
Analfissuren;Anal Fissures
Analgetikum;Analgesic
