internalID,Program,ProgramUUID,Parent,level
30000,"{'EN': 'Therapeutic', 'DE': 'Therapeutische Frequenzen'}",8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,,2
30001,"{'EN': 'Allergology', 'DE': 'Allergien'}",1f5c4420-4b58-51b2-88b8-ef3044d289ee,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30002,"{'EN': 'Anatomy, Physiology and Hystology', 'DE': 'Anatomie Physiologie und Histologie'}",28792b5d-a7b7-5626-9529-699c3b9495df,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30003,"{'EN': 'Vertebrology', 'DE': 'Orthopädie'}",8b6fae65-26cb-59be-ac19-18978556d432,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30004,"{'EN': 'Gastroenterology', 'DE': 'Gastroenterologie'}",d421ffac-96a6-5d4e-b41f-2ece5d3d8809,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30005,"{'EN': 'Hematology and Immunology', 'DE': 'Hämatologie und Immunologie'}",58bee3ed-6157-5118-b9f5-44e61f73cb15,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30006,"{'EN': 'Hepatology', 'DE': 'Hepatologie'}",343b583c-0178-5322-b321-f8d8e26a35fa,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30007,"{'EN': 'Obstetrics and Gynaecology', 'DE': 'Gynäkologie und Geburtshilfe'}",c5114900-3ee6-586d-9e0d-cad4e3349113,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30008,"{'EN': 'Headaches', 'DE': 'Kopfschmerzen'}",f77564f5-7a9e-59d3-abf6-2241033591e6,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30009,"{'EN': 'Dermatology and Cosmetology', 'DE': 'Dermatologie und Kosmetologie'}",adafc7d8-0043-55a3-b11c-cca3cc435f16,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30010,"{'EN': 'Cardiology and Cardiovascular System', 'DE': 'Kardiologie und Herz-Kreislauf-System'}",1c786904-85e8-5c3b-a027-dc7b3be69b6a,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30011,"{'EN': 'Lymphology', 'DE': 'Lymphologie'}",bd6c854a-a4e9-571f-8a35-24299eb9b18c,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30012,"{'EN': 'Otolaryngologist', 'DE': 'HNO Hals-Nasen-Ohr'}",f52c5759-0d06-5961-a283-0fe0c5e8c444,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30013,"{'EN': 'Breast Care', 'DE': 'Brustpflege'}",cddf017c-b8c6-5a81-97c4-373e1297df4e,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30014,"{'EN': 'Neurology', 'DE': 'Neurologie'}",585f34ff-4334-5d78-a65e-0795951f5185,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30016,"{'EN': 'Oncology', 'DE': 'Onkologie'}",d4a8fcf8-c712-5796-a9fe-769484b1ad3f,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30017,"{'EN': 'Ophthalmology', 'DE': 'Augen'}",99919084-946b-5a10-ae25-f156795622ef,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30018,"{'EN': 'Proctology', 'DE': 'Proktologie'}",74444870-0246-5a7b-881a-7ef258baebf6,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30019,"{'EN': 'Psychology and Psychiatry', 'DE': 'Psyche - Psychologie'}",6315b1c2-af0b-57ff-82e4-c5e6139f0531,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30020,"{'EN': 'Pulmonology', 'DE': 'Atemwege - Lunge'}",983bdf55-1afd-5ce1-b10f-ce228675a3f0,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30021,"{'EN': 'Rheumatology', 'DE': 'Rheumatologie'}",2f9fd5bd-985b-5751-b104-843839f6b014,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30022,"{'EN': 'Sexology', 'DE': 'Sexologie'}",9691e5d0-c1b7-58c1-a914-acb82f0f155d,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30023,"{'EN': 'Sympthoms and Syndromes', 'DE': 'Symptome und Syndrome'}",850f31bf-719e-51a3-9776-a3ba8c4b37b4,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30024,"{'EN': 'Dentistry', 'DE': 'Zähne-Kiefer-Mund'}",b32e50af-37b5-559c-8908-658bafb2f3bb,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30025,"{'EN': 'Urology and Nephrology', 'DE': 'Urologie und Nephrologie'}",1742bc21-e138-52e4-96ba-44d95636ccb7,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,2
30026,"{'EN': 'Phlebology', 'DE': 'Venen'}",e1c48689-f403-55ac-8dba-a8028d8f1e29,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30027,"{'EN': 'Surgery, Traumatology and Arthrology', 'DE': 'Trauma - Arthrologie'}",b287b928-bd8e-52a4-b96e-e129452c67ea,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,1
30028,"{'EN': 'Endocrinology', 'DE': 'Hormone'}",a2178593-b178-593a-aeff-760bd805e3d4,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30029,"{'EN': 'Physiological Effects', 'DE': 'Physiologie'}",585d1d13-3903-5ca9-b343-810147623b44,8bd2ad7d-56ce-515f-a7e0-1d4d51dbbcd4,3
30031,"{'EN': 'Set of Programs', 'DE': 'Schnelle Frequenzblöcke'}",c186110b-9268-5539-ac1e-458127d0ae54,,1
30032,"{'EN': 'Prostatic Adenoma', 'DE': 'Prostata Adenom'}",9cacc467-ca79-5d5e-b2c8-8b749ad668a6,c186110b-9268-5539-ac1e-458127d0ae54,1
30033,"{'EN': 'Allergy', 'DE': 'Allergie'}",4887e8b3-60d1-55a2-9ade-ada8f02aabdd,c186110b-9268-5539-ac1e-458127d0ae54,1
